node_id,node_name,child_nodes,leaf_node,tolorg_link,extinct,confidence,phylesis
1,Life on Earth,4,0,1,0,0,0
2,Eubacteria,24,0,1,0,0,0
3,Eukaryotes,6,0,1,0,0,0
4,Archaea,2,0,1,0,0,1
5,Viruses,6,0,1,0,2,1
7,Korarchaeota,0,0,0,0,0,0
8,none,2,0,0,0,0,0
9,Crenarchaeota,2,0,1,0,0,0
10,Euryarchaeota,7,0,1,0,0,0
12,none,2,0,0,0,0,0
13,Thermofilum,0,0,0,0,0,0
14,none,2,0,0,0,0,0
15,Pyrobaculum,0,0,0,0,0,0
16,Thermoproteus,0,0,0,0,0,0
17,none,2,0,0,0,0,0
18,none,2,0,0,0,0,0
19,Sulfolobus,0,0,0,0,0,0
20,none,2,0,0,0,0,0
21,Metallosphaera,0,0,0,0,0,0
22,Acidianus,0,0,0,0,0,0
23,none,2,0,0,0,0,0
24,none,2,0,0,0,0,0
25,none,2,0,0,0,0,0
26,Thermodiscus,0,0,0,0,0,0
27,Igneococcus,0,0,0,0,0,0
28,none,2,0,0,0,0,0
29,none,2,0,0,0,0,0
30,Thermosphaera,0,0,0,0,0,0
31,Desulfurococcus,0,0,0,0,0,0
32,Staphylothermus,0,0,0,0,0,0
33,none,2,0,0,0,0,0
34,Pyrolobus,0,0,0,0,0,0
35,none,2,0,0,0,0,0
36,Hyperthermus,0,0,0,0,0,0
37,Pyrodictium,0,0,0,0,0,0
39,none,2,0,0,0,0,0
40,Halobacteriales,0,0,0,0,0,0
41,Methanomicrobiales,0,0,0,0,0,0
42,Methanobacteriales,0,0,0,0,0,0
43,Methanococcales,0,0,0,0,0,0
44,Methanopyrales,0,0,0,0,0,0
45,Archeoglobales,0,0,0,0,0,0
46,Thermoplasmales,0,0,0,0,0,0
47,Thermococcales,0,0,0,0,0,0
49,Paussinae,2,0,1,0,0,0
50,Nototylus fryi,0,1,1,0,0,0
